name_page1

Age_Group,Rural_Male,Rural_Female,Rural_Person,Urban_Male,Urban_Female,Urban_Person,Rural+Urban_Male,Rural+Urban_Female,Rural+Urban_Person
15 years and above,78.1,46.5,62.1,72.3,26.0,49.4,76.3,40.3,58.2
All ages,56.3,34.8,45.6,56.4,20.7,38.9,56.4,30.7,43.7
15 years and above,78.0,40.7,59.4,71.0,23.5,47.7,76.0,35.9,56.0
All ages,54.0,30.0,42.3,55.6,18.7,37.7,54.4,27.0,41.1
15 years and above,75.3,35.8,55.6,70.4,21.9,46.6,73.8,31.7,52.9
All ages,54.7,26.6,40.8,55.0,17.3,36.6,54.8,24.0,39.6
15 years and above,75.1,35.8,55.5,70.0,21.2,45.8,73.5,31.4,52.6
All ages,54.9,27.1,41.3,54.9,17.0,36.3,54.9,24.2,39.8
15 years and above,74.4,32.2,53.3,69.9,21.3,45.8,73.0,28.7,50.9
All ages,53.8,24.0,39.2,54.1,16.8,35.9,53.9,21.8,38.2
15 years and above,72.2,25.5,48.9,68.6,18.4,43.9,71.0,23.3,47.3
All ages,52.1,19.0,35.8,52.7,14.5,34.1,52.3,17.6,35.3
15 years and above,72.0,23.7,48.1,69.3,18.2,43.9,71.2,22.0,46.8
All ages,51.7,17.5,35.0,53.0,14.2,33.9,52.1,16.5,34.7
